,cycle_epoch,train_loss,test_loss,train_acc,test_acc
0,0_0,5.374881344924061,4.337161034953837,7.403452238209432,15.84
1,0_1,3.8985186850519584,3.3931750545696335,22.26843525179856,28.256
2,0_2,3.344505645483613,3.0718628824973595,30.6617206235012,33.28
3,0_3,3.0710556554756194,2.793487541529597,35.169364508393286,38.496
4,0_4,2.924585331734612,2.8667304637480755,37.69109712230216,37.64
5,0_5,2.8299360511590725,2.5845428972828146,39.4150304756195,42.576
6,0_6,2.767966876498801,2.590789113725935,40.51852268185452,42.568
7,0_7,2.7386340927258193,2.5606088857261504,41.07401578737011,42.832
8,0_8,2.7157180505595524,2.515256586123486,41.31070143884892,43.624
9,0_9,2.6927957633892885,2.5706477676119124,41.73973321342926,42.504
10,0_10,2.681788943844924,2.592965916711457,41.925834332533974,42.0
11,0_11,2.6787569944044765,2.4872762500023353,42.1478442246203,43.984
12,0_12,2.665907898681055,2.545810130177712,42.219349520383695,43.344
13,0_13,2.6685276778577136,2.5764752845374908,42.121615207833734,43.2
14,0_14,2.6667103816946445,2.9912062542779103,42.220286270983216,36.072
15,0_15,2.6722746802557955,2.627436555161768,42.12286420863309,42.288
16,0_16,2.6672786770583534,2.6929877315248762,42.1275479616307,41.16
17,0_17,2.679724970023981,2.6369442574831905,41.93863659072742,41.56
18,0_18,2.6665230315747404,2.5703557218824113,42.11099870103917,43.272
19,0_19,2.6447779276578736,2.6391697124559053,42.57406574740208,41.328
20,0_20,2.6275854316546763,2.541318438491043,42.8800709432454,43.432
21,0_21,2.613815197841727,2.484800263326995,43.24040767386091,44.464
22,0_22,2.5980090927258193,2.5820815611858756,43.45554806155076,42.864
23,0_23,2.584117081334932,2.434893850161105,43.709719724220626,45.184
24,0_24,2.560732663868905,2.5058641944612776,44.09378747002398,43.536
25,0_25,2.550965477617906,2.736868116320396,44.37075339728217,40.024
26,0_26,2.542044489408473,2.3094185870520922,44.50502098321343,47.856
27,0_27,2.5271439098721022,2.397497218482348,44.79385241806555,46.56
28,0_28,2.511515787370104,2.449140492750674,45.08268385291767,44.656
29,0_29,2.498894634292566,2.6094895163360907,45.31843275379696,42.344
30,0_30,2.4908541916466826,2.4061481453934492,45.40773631095124,46.504
31,0_31,2.4795569794164667,2.2968435323968226,45.71811300959233,47.2
